2.1.2.1	Aspetto (Adolescente/Giovane Adulta)
2.1.2.1.1	Caratteristiche Fisiche Precise:
2.1.2.1.2	Evoluzione Posturale/Espressiva Cronologica:
2.1.2.1.3	Abbigliamento Caratterizzante:
2.1.2.1.4	Presenza E Aura Caratteristica:
2.1.2.1.5	Contrasti Evolutivi:
2.1.2.1.6	Indicatori Operativi Per Scrittura:
2.1.2.2	Personalità Iniziale
2.1.2.3	Evoluzione della Personalità
2.1.2.3.1	Timeline Trasformazione Dettagliata
2.1.2.4	Motivazioni Interne Profonde
2.1.2.4.1	Desiderio Profondo (Evoluzione)
2.1.2.4.2	Paura Più Grande
2.1.2.4.3	Bisogno Emotivo Primario
2.1.2.5	Dilemmi Interni Chiave
2.1.2.5.1	Status Sociale vs. Autenticità Personale
2.1.2.5.2	Controllo vs. Vulnerabilità Emotiva
2.1.2.5.3	Amore Terreno vs. Dimensione Cosmica
2.1.2.6	Valori non Negoziabili e Punti di Rottura
2.1.2.6.1	Valori
2.1.2.6.2	Punti di Rottura
2.1.2.7	Sfaccettature e Complessità
2.1.2.8	Linguaggio e ‘Voce’
2.1.2.8.1	Evoluzione stilistica comunicativa:
2.1.2.9	Talenti e Competenze Distintive
2.1.2.10	Dinamiche Emotive Complesse:
2.1.2.10.1	con Gabriele (Evoluzione Amore Millenario)
2.1.2.10.2	con Cristiano (Dalle Illusioni alla Disillusione)
2.1.2.10.3	con Trevor/SpeedyGonzy (Antagonismo Ideologico Persistente)
2.1.2.11	Relazioni Chiave:
2.1.2.11.1	Gabriele Rinaldi (Gabriel)
2.1.2.11.2	Cristiano
2.1.2.11.3	Trevor Rossi/SpeedyGonzy
2.1.2.11.4	Laura Mancini
2.1.2.11.5	Elena Costa
2.1.2.11.6	Federica Villa
2.1.2.11.7	Madre
2.1.2.12	Oggetti Simbolici
2.1.2.12.1	Microfono della Radio “Leonardo On Air”
2.1.2.12.2	Piuma Angelica
2.1.2.12.3	Foulard della Nonna
2.1.2.13	Anima Antica e Memoria Ancestrale
2.1.2.13.1	Legame Millenario con Gabriel
2.1.2.13.2	Attivazione Memoria (Sez. 4.4.6)
2.1.2.14	Sensibilità e Percezioni Speciali
2.1.2.14.1	Percezioni Soprannaturali Specifiche
2.1.2.14.2	Intuizione Investigativa Naturale
2.1.2.15	Passato (Vita Attuale e Influenze Formative)
2.1.2.16	Memorie Ancestrali Recuperate (Cap. 35: Un istante lungo mille vite)
2.1.2.17	Trasformazione Finale e Integrazione Cosmica
2.1.2.18	Arco Narrativo Principale
2.1.2.19	Futuro (Post-Romanzo)
2.1.2.20	Controlli Operativi per Scrittura AI
2.1.2.20.1	Riferimenti Obbligatori
2.1.2.20.2	Divieti Assoluti
2.1.2.20.3	Obblighi Narrativi
2.1.2.20.4	Indicatori Di Qualità Scrittura
